Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
13,Sun,2022-11-06,18:30,Villarreal,0.5,0–2,0.4,Mallorca,16,603,Estadio Ciudad de Valencia,Alejandro Muñíz,Match Report,
13,Sun,2022-11-06,21:00,Betis,1.0,1–1,1.5,Sevilla,54,034,Estadio Benito Villamarín,José Sánchez,Match Report,
13,Mon,2022-11-07,21:00,Rayo Vallecano,1.5,3–2,2.4,Real Madrid,14,216,Estadio del Rayo Vallecano,Juan Martínez,Match Report,
14,Tue,2022-11-08,19:00,Elche,0.6,1–2,2.3,Girona,17,339,Estadio Manuel Martínez Valero,Pablo González,Match Report,
14,Tue,2022-11-08,20:00,Athletic Club,2.1,3–0,0.5,Valladolid,40,072,San Mamés,Isidro Díaz de Mera,Match Report,
14,Tue,2022-11-08,21:30,Osasuna,1.0,1–2,0.8,Barcelona,21,603,Estadio El Sadar,Jesús Gil,Match Report,
14,Wed,2022-11-09,19:00,Almería,0.5,1–0,0.4,Getafe,11,454,Power Horse Stadium,Alejandro Muñíz,Match Report,
14,Wed,2022-11-09,19:00,Sevilla,0.6,1–2,1.7,Real Sociedad,34,814,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
14,Wed,2022-11-09,20:00,Espanyol,1.1,0–1,0.7,Villarreal,17,400,RCDE Stadium,Javier Villanueva,Match Report,
14,Wed,2022-11-09,21:30,Mallorca,1.3,1–0,1.3,Atlético Madrid,14,475,Iberostar Estadi,Mario Melero,Match Report,
14,Thu,2022-11-10,19:00,Rayo Vallecano,0.4,0–0,0.9,Celta Vigo,12,419,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
14,Thu,2022-11-10,20:00,Valencia,2.0,3–0,0.2,Betis,39,876,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
14,Thu,2022-11-10,21:30,Real Madrid,2.0,2–1,0.9,Cádiz,53,190,Estadio Santiago Bernabéu,César Soto,Match Report,
15,Thu,2022-12-29,17:00,Girona,2.3,2–2,1.0,Rayo Vallecano,11,451,Estadi Municipal de Montilivi,Jorge Figueroa,Match Report,
15,Thu,2022-12-29,19:15,Betis,0.5,0–0,0.4,Athletic Club,53,565,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
15,Thu,2022-12-29,21:30,Atlético Madrid,1.7,2–0,0.4,Elche,48,119,Estadio Cívitas Metropolitano,Guillermo Cuadra,Match Report,
15,Fri,2022-12-30,17:00,Getafe,1.2,2–0,0.6,Mallorca,9,755,Coliseum Alfonso Pérez,Alberola Rojas,Match Report,
15,Fri,2022-12-30,19:15,Cádiz,1.3,1–1,2.3,Almería,17,345,Estadio Nuevo Mirandilla,Juan Martínez,Match Report,
15,Fri,2022-12-30,19:15,Celta Vigo,2.0,1–1,0.7,Sevilla,13,653,Estadio de Balaídos,Ricardo de Burgos,Match Report,
15,Fri,2022-12-30,21:30,Valladolid,0.6,0–2,2.3,Real Madrid,25,950,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
15,Sat,2022-12-31,14:00,Barcelona,2.2,1–1,0.9,Espanyol,88,095,Camp Nou,Antonio Matéu,Match Report,
15,Sat,2022-12-31,16:15,Real Sociedad,1.4,2–0,0.4,Osasuna,34,847,Reale Arena,Valentín Pizarro,Match Report,
15,Sat,2022-12-31,16:15,Villarreal,2.5,2–1,1.4,Valencia,19,247,Estadio Ciudad de Valencia,José Sánchez,Match Report,
16,Fri,2023-01-06,18:30,Elche,1.0,0–1,2.0,Celta Vigo,20,121,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,
16,Fri,2023-01-06,21:00,Valencia,0.4,0–1,0.4,Cádiz,39,003,Estadio de Mestalla,Pablo González,Match Report,
16,Sat,2023-01-07,16:15,Villarreal,3.0,2–1,2.2,Real Madrid,21,088,Estadio de la Cerámica,César Soto,Match Report,
16,Sat,2023-01-07,18:30,Mallorca,1.2,1–0,0.6,Valladolid,14,129,Iberostar Estadi,Valentín Pizarro,Match Report,
16,Sat,2023-01-07,21:00,Espanyol,1.5,2–2,1.2,Girona,21,429,RCDE Stadium,Carlos del Cerro,Match Report,
16,Sun,2023-01-08,14:00,Almería,0.6,0–2,1.7,Real Sociedad,12,020,Power Horse Stadium,Alberola Rojas,Match Report,
16,Sun,2023-01-08,16:15,Rayo Vallecano,1.6,1–2,0.9,Betis,13,119,Estadio del Rayo Vallecano,Isidro Díaz de Mera,Match Report,
16,Sun,2023-01-08,18:30,Sevilla,1.2,2–1,0.7,Getafe,35,389,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
16,Sun,2023-01-08,21:00,Atlético Madrid,1.7,0–1,0.7,Barcelona,63,493,Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
16,Mon,2023-01-09,21:00,Athletic Club,1.0,0–0,0.4,Osasuna,39,216,San Mamés,Mario Melero,Match Report,
17,Fri,2023-01-13,21:00,Celta Vigo,2.1,1–1,0.1,Villarreal,13,931,Estadio de Balaídos,Alberola Rojas,Match Report,
17,Sat,2023-01-14,14:00,Valladolid,0.6,0–1,1.1,Rayo Vallecano,19,969,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
17,Sat,2023-01-14,16:15,Girona,2.2,2–1,1.1,Sevilla,12,035,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
17,Sat,2023-01-14,18:30,Osasuna,1.6,1–0,0.5,Mallorca,19,887,Estadio El Sadar,César Soto,Match Report,
17,Sat,2023-01-14,21:00,Real Sociedad,2.0,3–1,0.3,Athletic Club,38,296,Reale Arena,Guillermo Cuadra,Match Report,
17,Sun,2023-01-15,14:00,Getafe,0.5,1–2,0.8,Espanyol,10,286,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
17,Sun,2023-01-15,16:15,Almería,1.4,1–1,2.4,Atlético Madrid,14,128,Power Horse Stadium,José Sánchez,Match Report,
17,Mon,2023-01-16,21:00,Cádiz,1.6,1–1,0.6,Elche,17,389,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
18,Fri,2023-01-20,21:00,Mallorca,0.5,1–0,0.5,Celta Vigo,12,253,Iberostar Estadi,Juan Pulido,Match Report,
18,Sat,2023-01-21,14:00,Rayo Vallecano,0.9,0–2,1.6,Real Sociedad,12,874,Estadio del Rayo Vallecano,Antonio Matéu,Match Report,
18,Sat,2023-01-21,16:15,Espanyol,2.3,1–0,0.9,Betis,20,811,RCDE Stadium,Pablo González,Match Report,
18,Sat,2023-01-21,18:30,Atlético Madrid,3.3,3–0,0.5,Valladolid,53,253,Estadio Cívitas Metropolitano,Ricardo de Burgos,Match Report,
18,Sat,2023-01-21,21:00,Sevilla,1.7,1–0,0.1,Cádiz,37,400,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
18,Sun,2023-01-22,14:00,Villarreal,2.5,1–0,0.6,Girona,15,129,Estadio de la Cerámica,Carlos del Cerro,Match Report,
18,Sun,2023-01-22,16:15,Elche,1.2,1–1,0.5,Osasuna,17,589,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
18,Sun,2023-01-22,18:30,Barcelona,0.7,1–0,1.1,Getafe,79,814,Camp Nou,Javier Villanueva,Match Report,
18,Sun,2023-01-22,21:00,Athletic Club,1.1,0–2,1.1,Real Madrid,49,316,San Mamés,José Sánchez,Match Report,
18,Mon,2023-01-23,21:00,Valencia,1.9,2–2,1.4,Almería,33,442,Estadio de Mestalla,Jesús Gil,Match Report,
19,Fri,2023-01-27,21:00,Almería,2.1,3–1,0.8,Espanyol,11,629,Power Horse Stadium,Javier Villanueva,Match Report,
19,Sat,2023-01-28,14:00,Cádiz,1.9,2–0,0.4,Mallorca,16,117,Estadio Nuevo Mirandilla,Ricardo de Burgos,Match Report,
19,Sat,2023-01-28,16:15,Girona,1.1,0–1,1.1,Barcelona,13,402,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,
19,Sat,2023-01-28,18:30,Sevilla,3.2,3–0,0.4,Elche,35,567,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
19,Sat,2023-01-28,21:00,Getafe,0.3,0–1,1.7,Betis,11,851,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
19,Sun,2023-01-29,14:00,Valladolid,1.5,1–0,1.2,Valencia,19,675,Estadio Municipal José Zorrilla,Jorge Figueroa,Match Report,
19,Sun,2023-01-29,16:15,Osasuna,0.9,0–1,1.6,Atlético Madrid,20,902,Estadio El Sadar,Alberola Rojas,Match Report,
19,Sun,2023-01-29,18:30,Celta Vigo,0.7,1–0,0.4,Athletic Club,14,754,Estadio de Balaídos,Isidro Díaz de Mera,Match Report,
19,Sun,2023-01-29,21:00,Real Madrid,1.3,0–0,0.4,Real Sociedad,58,129,Estadio Santiago Bernabéu,Mario Melero,Match Report,
19,Mon,2023-01-30,21:00,Villarreal,0.8,0–1,1.0,Rayo Vallecano,14,378,Estadio de la Cerámica,Juan Pulido,Match Report,
17,Wed,2023-02-01,21:00,Betis,0.6,1–2,1.9,Barcelona,48,181,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
